,date,meanCumstatpoints,cumStatpoints
date,2018-01-09,66.65,78.69878136686052
date,2018-01-10,69.7890625,78.86211351983502
date,2018-01-11,65.16374269005848,78.99795832542785
date,2018-01-12,63.413907284768214,79.18410169446899
date,2018-01-13,63.35514018691589,79.3907787747687
date,2018-01-14,64.8828125,79.57044414304066
date,2018-01-15,58.633484162895925,79.77646108893428
date,2018-01-16,63.99728997289973,79.91621557429785
date,2018-01-17,60.48760330578512,80.1043550166222
date,2018-01-18,64.6529605263158,80.28468899604668
date,2018-01-19,61.166666666666664,80.46132969481911
date,2018-01-20,64.37516005121638,80.63562501606413
date,2018-01-21,66.01633986928104,80.81022554560549
date,2018-01-22,63.79083094555874,80.92870245656924
date,2018-01-23,64.11904761904762,81.15514090730363
date,2018-01-24,63.23076923076923,81.28617889669856
date,2018-01-25,65.32733408323959,81.4727462273403
date,2018-01-30,66.72383720930233,81.61657981321552
date,2018-01-31,71.61935483870968,81.76944465832199
date,2018-02-01,65.16481994459834,81.9380352117893
date,2018-02-02,73.76371308016877,82.15366734623665
date,2018-02-03,66.15947712418301,82.3231057731655
date,2018-02-04,69.01554404145078,82.48679524460937
date,2018-02-05,70.12033195020747,82.7065594471178
date,2018-02-06,66.53703703703704,82.90372308856851
date,2018-02-07,67.42553191489361,83.05693868738715
date,2018-02-08,66.98515769944342,83.28190675857132
date,2018-02-09,69.11184210526316,83.48873047508641
date,2018-02-10,69.09005628517824,83.68397998478352
date,2018-02-11,66.89373814041745,83.86646569953
date,2018-02-12,66.93888888888888,84.11940872754384
date,2018-02-13,71.61637931034483,84.33635053992377
date,2018-02-14,64.29775280898876,84.51644411983274
date,2018-02-15,69.36676646706587,84.70631367251208
date,2018-02-16,71.8254716981132,84.80492931204385
date,2018-02-17,68.45175438596492,85.02092255293645
date,2018-02-18,68.43103448275862,85.26466025510923
date,2018-02-19,72.26966292134831,85.4108231605426
date,2018-02-20,67.72310756972112,85.57000512955044
date,2018-02-21,69.37373737373737,85.7741428237731
date,2018-02-22,68.85326953748006,85.94308436381947
date,2018-02-23,69.88102893890675,86.14027336393788
date,2018-02-24,69.5081001472754,86.34759374426723
date,2018-02-25,67.92,86.53475683613287
date,2018-02-26,66.5728813559322,86.66389689471067
date,2018-02-27,74.14766355140186,86.87578432157255
date,2018-02-28,60.3205574912892,87.05223110425163
date,2018-03-01,75.46895074946467,87.30193538266062
date,2018-03-02,68.96146788990826,87.51078742413993
date,2018-03-03,71.02608695652174,87.687533328808
date,2018-03-04,73.11807228915663,87.90247581831275
date,2018-03-05,69.48524590163935,88.11877638024096
date,2018-03-06,71.6067415730337,88.31975037521184
date,2018-03-07,66.734375,88.50365028078313
date,2018-03-08,69.65106382978723,88.67037521197072
date,2018-03-09,74.43589743589743,88.84707795524571
date,2018-03-10,69.53765060240964,89.01989955325247
date,2018-03-11,68.35772357723577,89.1199939819588
date,2018-03-12,69.5126582278481,89.33366582427482
date,2018-03-13,72.645,89.54040803390653
date,2018-03-14,69.92,89.78628295218938
date,2018-03-15,71.65680473372781,89.99521065556031
date,2018-03-16,75.25364431486881,90.2525632930945
date,2018-03-17,70.32941176470588,90.41887843104769
date,2018-03-18,73.31777777777778,90.62123285345878
date,2018-03-19,71.6930693069307,90.80522859014292
date,2018-03-20,72.79019908116386,91.0371674732234
date,2018-03-21,63.373493975903614,91.19016473137785
date,2018-03-22,72.45516074450084,91.42285240244
date,2018-03-23,66.81372549019608,91.57771548081583
date,2018-03-24,72.89914772727273,91.76315521813234
date,2018-03-25,74.91638795986623,92.0055496016771
date,2018-03-26,69.32122370936902,92.17521794567203
date,2018-03-27,76.4515503875969,92.38050156119348
date,2018-03-28,70.57563025210084,92.53080984314649
date,2018-03-29,73.94047619047619,92.73703057506532
date,2018-03-30,73.20338983050847,92.95357640499763
date,2018-03-31,73.54417952314165,93.15557172461827
date,2018-04-01,72.5952380952381,93.27566962213422
date,2018-04-02,73.14080459770115,93.47058349664172
date,2018-04-03,70.17472118959108,93.66919971240254
date,2018-04-04,69.47058823529412,93.84137101718508
date,2018-04-05,72.91771269177127,94.0396475945198
date,2018-04-06,70.97345132743362,94.26371939376271
date,2018-04-07,71.02944507361268,94.4536590470821
date,2018-04-08,52.6140350877193,94.69817969714919
date,2018-10-03,69.2073732718894,94.92512190416997
date,2018-10-04,79.43087971274686,95.09277439296821
date,2018-10-05,80.00980392156863,95.2339730820756
date,2018-10-06,75.98838896952104,95.41333554440347
date,2018-10-07,77.75308641975309,95.74887221421776
date,2018-10-08,73.32589285714286,95.94175970915909
date,2018-10-09,75.56957928802589,96.15225321374758
date,2018-10-10,70.66666666666667,96.3963594220349
date,2018-10-11,78.60725075528701,96.59216062535903
date,2018-10-13,76.87231352718078,96.78011075840679
date,2018-10-14,78.33986928104575,96.94408342962826
