,Name,ARIMA,Name,DeepAR
237,Jake McCabe,59.23654976747146,Justin Braun,126.01327657699585
238,Charlie McAvoy,58.12903225806454,Sami Vatanen,125.57629501819609
239,Jay Bouwmeester,57.32873315072372,Ryan Dzingel,125.20934879779816
240,Tyler Bertuzzi,56.444444415035804,Jacob Trouba,124.9811019897461
241,Kevan Miller,56.15306121410711,Radek Faksa,123.21740770339966
242,Derek Forbort,55.79190751445078,Riley Nash,122.60988187789916
243,Tom Pyatt,55.27777723060918,Nick Holden,122.0164794921875
244,Matt Benning,54.805960276421416,Andrew Shaw,119.30119276046752
245,Troy Stecher,54.78260869565216,Anthony Duclair,119.00770378112793
246,Andy Greene,54.56136524913667,Richard Panik,118.39787006378174
247,Danny DeKeyser,54.18619772727785,Cody Ceci,117.8137035369873
248,Austin Watson,54.04743527784535,Antoine Roussel,117.5371208190918
249,Joel Edmundson,53.86274509179157,David Savard,117.48331832885742
250,Ben Hutton,53.86184583427318,Sam Gagner,117.22983527183531
251,Zach Bogosian,53.08028081071415,Josh Manson,115.33124923706056
252,Brett Ritchie,52.97274803227835,Matthew Tkachuk,114.84059572219849
253,Thomas Chabot,52.77777195879097,Ron Hainsey,114.38933372497559
254,Alex Iafallo,52.70269425024898,Brian Boyle,113.01236057281494
255,Nikita Zaitsev,52.594738084757594,Phillip Danault,112.8788604736328
256,Mark Jankowski,52.43055554983057,Justin Schultz,112.51565945148468
257,Christopher Tanev,51.822079562074364,Casey Cizikas,111.81218266487123
258,Jake Virtanen,51.169264438594595,Tomas Plekanec,111.45358264446259
259,Ben Chiarot,50.7567516669268,Anton Stralman,109.53038156032558
260,Neal Pionk,50.2993395028308,Colton Sceviour,108.70721387863159
261,Valeri Nichushkin,50.19230532083272,Cal Clutterbuck,106.23985147476195
262,Adam Pelech,49.599996282200394,Colin Wilson,102.00386667251587
263,Vince Dunn,49.29729321512974,Matt Calvert,101.9315435886383
264,Jakob Chychrun,49.068354782872056,Lee Stempniak,101.3918948173523
265,Ivan Barbashev,49.03300516974012,Sven Baertschi,100.98594295978546
266,Braydon Coburn,48.85279072334238,Zach Werenski,100.75566762685776
267,Jack Roslovic,48.7741874661041,Jay Beagle,100.50342321395874
268,J.T. Compher,48.764044924001766,Niklas Kronwall,100.05076932907104
269,Denis Malgin,48.763134232214654,Darren Helm,99.80152904987335
270,Charles Hudon,47.95316119056063,Nate Schmidt,99.60692703723906
271,Nikita Zadorov,46.545454545454675,Jamie McGinn,99.51032114028929
272,Jonathan Ericsson,46.52474964194772,Alex Chiasson,99.3721342086792
273,Tyson Jost,45.99999676288732,Andreas Athanasiou,99.280846118927
274,Blake Coleman,44.80837873345997,Zach Hyman,97.79840260744095
275,Scott Mayfield,44.571416772229576,Drew Stafford,97.66624045372008
276,Cedric Paquette,44.2011834319527,Adam Lowry,97.18277037143707
277,Jesse Puljujarvi,43.86704282165694,Alexander Edler,95.31687867641449
278,Derek MacKenzie,43.33253363410913,Andrew Copp,95.04714393615723
279,Kyle Clifford,42.984518414401236,Luke Glendening,94.92917120456696
280,Brooks Orpik,42.744999999999955,Michael Raffl,94.13173818588257
281,Barclay Goodrow,41.46215901102199,Anthony Mantha,93.5756340622902
282,Jujhar Khaira,39.48386792811769,Connor Brown,93.20622307062149
283,Dominik Simon,38.945938674829364,Melker Karlsson,92.89190483093262
284,Joel Eriksson Ek,37.33707613751086,Johnny Boychuk,92.42116451263428
285,Garnet Hathaway,37.12425292521394,Adam Larsson,92.15865969657898
286,Jesper Bratt,35.43656633015007,John Moore,91.87641334533691
287,Marc Staal,34.633619146997894,Brett Pesce,91.7348699569702
288,Travis Dermott,34.33333333333329,Bryan Rust,91.50885677337645
289,John Hayden,32.82758620689651,Erik Johnson,91.35821318626404
290,Chandler Stephenson,32.58227840272071,Ian Cole,91.0221221446991
291,Matt Grzelcyk,30.967741609128375,Martin Hanzal,90.51446390151976
292,Lukas Sedlak,29.657894736842184,Travis Konecny,90.24051058292387
293,Noel Acciari,28.43925188646574,Kyle Brodziak,89.57928323745728
294,Sean Kuraly,28.208753601475355,Brian Dumoulin,89.30221366882324
295,Gustav Forsling,27.92307474125541,Trevor Lewis,88.84484982490541
296,Mark Borowiecki,27.910940505697344,Jason Demers,88.78994083404541
297,Robert Bortuzzo,27.886885138964452,Jake Guentzel,88.75883263349533
298,Joshua Ho-Sang,27.23809467901355,Mathew Barzal,88.6259011030197
299,Carl Gunnarsson,27.15789473684207,Colin Miller,88.51079088449477
300,Travis Sanheim,27.08331366273982,Oscar Klefbom,87.57747548818588
301,David Kampf,26.399970670983862,Marco Scandella,87.44156205654144
302,Steven Santini,25.949015271312263,Radko Gudas,87.35488641262054
303,Lawson Crouse,25.841459454751348,Jack Johnson,87.07576262950897
304,Sonny Milano,25.83129893442024,Deryk Engelland,85.50922679901123
305,Marcus Sorensen,25.778559662720273,Brenden Dillon,85.21735489368439
306,Tim Heed,25.0344827586207,Mark Letestu,84.81721007823944
307,Alex Biega,24.992307692307744,Ivan Provorov,84.26070022583008
308,Paul LaDue,24.389873268441782,Trevor Daley,83.6934025287628
309,Kasperi Kapanen,23.769743911210888,Jonas Brodin,83.61657607555391
310,Miikka Salomaki,23.376201122458582,Andrej Sekera,82.87911319732666
311,Zach Aston-Reese,23.199987565892044,Tyler Myers,82.85773175954819
312,Boo Nieves,22.821428558712835,Ben Hutton,81.41772639751434
313,Christian Djoos,22.709677419354893,Derek Ryan,80.99019551277159
314,Martin Marincin,22.41001386625943,Zemgus Girgensons,80.96782457828522
315,Brandon Carlo,22.11143967232999,Kris Russell,80.81736767292024
316,Joakim Ryan,20.655725309912825,Brady Skjei,80.39191114902495
317,Casey Nelson,19.82108413352015,Andy Greene,79.91267395019531
318,Anders Bjork,19.58620482664874,Nick Schmaltz,79.84719425439833
319,Robert Hagg,19.54285252934008,Oscar Lindberg,79.75543308258057
320,Victor Mete,17.8475728564999,Devin Shore,79.07521426677705
321,Michael Amadio,17.55555537516602,Patrik Berglund,78.85120767354965
322,Adam Erne,16.753190108825212,Darnell Nurse,77.89593338966371
323,Lucas Wallmark,16.499976783570148,Joakim Nordstrom,77.87052631378174
324,Cory Conacher,16.347825961553635,Niklas Hjalmarsson,77.78368330001831
325,Mario Kempe,16.235284213159595,Jori Lehtera,77.5697774887085
326,Markus Hannikainen,15.652173913043512,Jordie Benn,77.42176723480225
327,MacKenzie Weegar,15.418255383234202,Matt Nieto,77.35595285892488
328,Nick Seeler,15.318844971857166,Trevor van Riemsdyk,77.2199821472168
329,Frederik Gauthier,14.72222222222225,Josh Anderson,76.53443396091461
330,Julius Honka,13.070165148983126,Nick Ritchie,76.36877775192261
331,Korbinian Holzer,12.894735667966167,Zack Kassian,75.44036734104156
332,Brendan Gaunce,12.318583151184328,Ryan Hartman,75.22285324335098
333,Jason Dickinson,12.243243243243263,Yanni Gourde,75.00171756744385
334,Frederick Gaudreau,11.857133232698896,Thomas Hickey,73.94633734226227
335,Max McCormick,11.25000000000001,Dan Girardi,73.90798616409302
336,Jonny Brodzinski,10.599999742371121,Olli Maatta,73.48931407928467
337,Haydn Fleury,10.424242418152751,Dan Hamhuis,73.1109243631363
338,John Quenneville,9.846149725193651,Connor Murphy,72.88380956649779
339,Dean Kukan,9.568879838116773,Nathan Beaulieu,72.5012607574463
340,Tanner Fritz,8.696965680887175,Mattias Janmark,72.44899559020995
341,Nick Lappin,7.949777505613648,Brad Richardson,70.59597861766815
342,Kevin Roy,7.8749999764451815,Braydon Coburn,70.2723526954651
343,Peter Cehlarik,7.5,Brandon Sutter,70.20095902681349
344,Ian McCoshen,6.899993867221742,Mark Pysyk,70.03856420516968
345,Ross Johnston,6.206766836512095,Joel Armia,70.02541619539261
346,John Gilmour,5.92592569606476,Evgenii Dadonov,70.0199339389801
