,gameNumber,predictions,low,high,name
70,71,75.91890287399292,67.31608092784882,85.51357686519623,Derek Ryan
71,72,75.99252760410309,67.36111629009247,86.56872987747192,Derek Ryan
72,73,76.16764616966248,67.63675570487976,88.5280145406723,Derek Ryan
73,74,76.26750361919403,67.48934197425842,88.56424248218536,Derek Ryan
74,75,76.30521631240845,67.9950041770935,87.53869605064392,Derek Ryan
75,76,76.5197092294693,67.75128376483917,87.72593903541565,Derek Ryan
76,77,76.65558612346649,67.78026485443115,86.92362976074219,Derek Ryan
77,78,76.43003022670746,68.19275414943695,86.43441987037659,Derek Ryan
78,79,76.56447923183441,68.12561810016632,86.78804349899292,Derek Ryan
79,80,76.79850137233734,67.85021877288818,86.8309496641159,Derek Ryan
80,81,77.01984310150146,67.97535490989685,87.10726511478424,Derek Ryan
81,82,77.06784164905548,68.22631585597992,87.10677230358124,Derek Ryan
0,1,12.669119477272034,12.368637502193451,13.073603570461273,Noel Acciari
1,2,12.832399070262909,12.414786756038666,13.377696961164474,Noel Acciari
2,3,12.987312078475952,12.5101118683815,13.580497026443481,Noel Acciari
3,4,13.070849508047104,12.447064071893692,13.776732981204987,Noel Acciari
4,5,13.06502079963684,12.339641779661179,13.922113478183746,Noel Acciari
5,6,13.104862779378891,12.192752599716187,13.829743832349777,Noel Acciari
6,7,13.096400111913681,12.036499053239822,14.03426969051361,Noel Acciari
7,8,13.100310862064362,12.098524123430252,14.070901215076447,Noel Acciari
8,9,13.11856472492218,12.122684299945831,13.999293744564056,Noel Acciari
9,10,13.142383992671967,12.099115401506424,14.066981226205826,Noel Acciari
10,11,13.138786435127258,12.008053034543991,14.095782935619354,Noel Acciari
11,12,13.161896169185638,12.141791820526123,14.2331802546978,Noel Acciari
12,13,13.146072089672089,11.97021308541298,14.149656683206558,Noel Acciari
13,14,13.044011950492859,11.900319397449493,14.029373168945312,Noel Acciari
14,15,13.03629669547081,11.875412732362747,14.262776494026184,Noel Acciari
15,16,12.971522182226181,11.911780029535294,14.21100640296936,Noel Acciari
16,17,12.910881996154785,11.598483949899673,14.120025336742401,Noel Acciari
17,18,12.887915462255478,11.505337327718735,14.19265553355217,Noel Acciari
18,19,12.838932693004608,11.514406979084015,14.151388943195343,Noel Acciari
19,20,12.832897037267685,11.477469652891159,14.087685197591782,Noel Acciari
20,21,12.842909961938858,11.474213004112244,14.146992236375809,Noel Acciari
21,22,12.777078539133072,11.479322016239166,14.221522837877274,Noel Acciari
22,23,12.751538097858429,11.359044969081879,14.100822657346725,Noel Acciari
23,24,12.714693158864975,11.29442474246025,14.103918552398682,Noel Acciari
24,25,12.693811804056168,11.092408120632172,14.174060761928558,Noel Acciari
25,26,12.650343626737595,11.15547439455986,14.180103808641434,Noel Acciari
26,27,12.580982089042664,11.094740897417068,14.098391950130463,Noel Acciari
27,28,12.552540689706802,11.038229495286942,14.1903957426548,Noel Acciari
28,29,12.58417221903801,11.094206899404526,14.346410930156708,Noel Acciari
29,30,12.637458384037018,11.05061861872673,14.504697918891907,Noel Acciari
30,31,12.676119655370712,11.002302885055542,14.443435043096542,Noel Acciari
31,32,12.68787869811058,10.91635137796402,14.524475246667862,Noel Acciari
32,33,12.739917635917664,11.012472867965698,14.603156805038452,Noel Acciari
33,34,12.465519338846207,10.703762888908386,14.741985201835632,Noel Acciari
34,35,12.558948665857315,10.7303426861763,14.719415932893753,Noel Acciari
35,36,12.621899455785751,10.816235989332199,14.74947041273117,Noel Acciari
36,37,12.657970190048218,10.900233507156372,14.775881141424179,Noel Acciari
37,38,12.679331958293915,10.935151249170303,14.772164404392242,Noel Acciari
38,39,12.72154551744461,10.943251758813858,14.782205045223236,Noel Acciari
39,40,12.760996699333191,10.942085832357407,14.796803146600723,Noel Acciari
40,41,12.83910545706749,10.99884021282196,14.986060172319412,Noel Acciari
41,42,12.859032452106476,11.027573555707932,15.016315132379532,Noel Acciari
42,43,12.867388874292374,11.104041516780853,14.991739213466644,Noel Acciari
43,44,12.884937822818756,11.017888605594635,15.010572344064713,Noel Acciari
44,45,12.908274829387665,11.068258106708527,15.113842755556107,Noel Acciari
45,46,12.99039226770401,11.130149215459824,15.172999203205109,Noel Acciari
